,,Revenue Growth Rate = Last 3 years,,,Pre-tax Operating Margin,,,Sales to Invested Capital,,,Cost of Capital,,,Beta,Debt to Capital Ratio,,,,
Industry Group,count,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,median(Beta),First Quartlie,Median,Third Quartile,,
Advertising,391,-2.27%,7.93%,20.70%,-5.16%,3.51%,9.87%,1.40,3.17,6.79,9.84%,10.52%,10.73%,0.64,1.20,1.83,0.87%,9.16%,28.11%
Aerospace/Defense,289,0.27%,6.13%,16.70%,-6.33%,5.95%,12.21%,0.58,1.22,2.17,7.93%,8.59%,8.89%,0.51,0.93,1.42,1.18%,9.77%,23.57%
Air Transport,155,9.21%,18.80%,31.10%,-3.37%,8.64%,15.36%,0.48,0.98,2.16,7.55%,8.08%,9.51%,0.78,1.24,1.68,15.36%,43.68%,62.65%
Apparel,"1,152",-1.19%,8.03%,20.50%,-2.99%,3.88%,9.13%,0.64,1.21,1.83,8.10%,9.62%,9.92%,0.31,0.79,1.30,5.96%,23.45%,51.26%
Auto & Truck,165,4.34%,15.30%,24.30%,-25.44%,3.22%,8.52%,0.59,1.37,2.88,8.55%,9.36%,9.93%,0.85,1.39,1.82,1.28%,13.08%,37.92%
Auto Parts,761,7.75%,13.30%,21.70%,1.79%,4.75%,8.73%,1.00,1.60,2.36,9.78%,10.35%,10.59%,0.83,1.23,1.70,4.63%,18.16%,42.00%
Bank (Money Center),607,8.23%,14.20%,23.90%,0.00%,0.00%,0.00%,0.15,0.25,0.47,6.11%,7.04%,9.31%,0.26,0.84,1.32,24.82%,52.34%,71.97%
Banks (Regional),881,4.44%,9.13%,15.40%,0.00%,0.00%,0.12%,0.19,0.36,0.64,4.88%,5.07%,5.23%,0.21,0.44,0.76,13.92%,40.39%,64.86%
Beverage (Alcoholic),220,4.62%,10.40%,18.00%,1.88%,8.41%,19.28%,0.60,1.10,2.21,7.06%,7.76%,9.23%,0.33,0.71,1.08,0.16%,6.23%,25.91%
Beverage (Soft),100,3.94%,9.91%,16.10%,-15.73%,6.92%,12.48%,1.22,1.81,2.88,6.90%,7.47%,8.45%,0.23,0.60,0.96,0.69%,6.90%,31.84%
Broadcasting,130,-0.20%,4.52%,9.12%,-2.51%,5.34%,12.28%,0.62,0.98,1.75,7.37%,7.71%,9.10%,0.51,1.02,1.51,4.10%,27.68%,58.27%
Brokerage & Investment Banking,590,-3.80%,7.22%,25.30%,0.00%,0.00%,0.00%,0.07,0.22,0.84,5.92%,6.73%,7.00%,0.35,0.91,1.45,0.72%,14.22%,53.53%
Building Materials,457,1.97%,9.13%,16.90%,1.15%,6.79%,12.24%,0.90,1.42,2.28,8.41%,8.97%,10.67%,0.50,0.97,1.46,5.63%,17.35%,37.13%
Business & Consumer Services,980,2.59%,8.80%,18.40%,0.00%,5.70%,12.01%,0.94,2.39,5.52,8.26%,8.99%,9.25%,0.52,0.99,1.46,1.30%,11.06%,30.57%
Cable TV,48,-4.07%,0.43%,4.34%,-0.92%,4.75%,21.13%,0.34,0.65,1.16,6.74%,7.19%,8.51%,0.63,1.08,1.35,3.42%,37.97%,64.62%
Chemical (Basic),888,4.49%,12.00%,22.40%,-0.10%,5.16%,10.98%,0.78,1.20,1.77,8.62%,8.91%,10.57%,0.62,1.05,1.49,2.78%,15.00%,36.32%
Chemical (Diversified),64,5.66%,12.00%,18.40%,2.85%,7.04%,13.50%,0.91,1.20,1.64,7.95%,8.42%,10.38%,0.70,1.13,1.37,11.53%,25.23%,45.02%
Chemical (Specialty),949,3.82%,11.40%,21.10%,0.25%,6.48%,13.21%,0.68,1.13,1.64,8.61%,9.05%,10.96%,0.56,0.98,1.42,2.29%,11.87%,28.12%
Coal & Related Energy,215,11.00%,21.20%,37.70%,-12.98%,10.66%,23.83%,0.00,0.62,1.80,8.87%,9.05%,11.10%,0.37,0.94,1.58,0.01%,5.52%,26.18%
Computer Services,"1,164",1.61%,9.73%,19.50%,0.52%,4.87%,9.93%,1.44,3.04,6.28,9.04%,9.41%,10.77%,0.56,1.00,1.45,1.05%,7.27%,22.47%
Computers/Peripherals,338,-4.21%,3.36%,10.20%,-5.04%,2.90%,9.31%,0.83,1.55,2.80,10.24%,10.62%,10.84%,0.81,1.21,1.71,1.75%,9.43%,26.59%
Construction Supplies,453,1.41%,9.97%,19.50%,1.70%,8.04%,13.71%,0.55,0.97,1.47,7.69%,8.86%,9.80%,0.43,0.91,1.35,3.42%,18.17%,38.83%
Diversified,326,4.46%,12.60%,23.10%,2.76%,9.45%,18.01%,0.23,0.71,1.80,7.34%,8.12%,9.57%,0.40,0.92,1.44,5.20%,30.85%,58.82%
Drugs (Biotechnology),"1,259",-5.30%,11.00%,39.90%,-1287.08%,-242.15%,-16.76%,0.00,0.17,0.74,9.11%,9.17%,10.06%,0.64,1.11,1.64,0.35%,4.04%,16.69%
Drugs (Pharmaceutical),"1,299",1.21%,9.00%,18.40%,-29.81%,5.28%,14.27%,0.41,0.86,1.41,7.95%,8.70%,9.20%,0.47,0.85,1.32,0.61%,7.83%,25.70%
Education,260,0.51%,9.57%,20.60%,-3.42%,8.15%,18.57%,0.40,1.02,2.32,7.50%,7.98%,9.10%,0.26,0.77,1.23,1.82%,13.12%,38.60%
Electrical Equipment,"1,072",3.42%,12.70%,26.60%,-1.39%,4.97%,10.26%,0.79,1.41,2.21,9.46%,9.90%,10.08%,0.59,1.08,1.61,1.76%,10.31%,27.00%
